E-BIKE Mercedes; 55; 25800; true; 27000;  olive; 825
E-BIKE Mercedes; 60; 24300; true; 14000;  silver; 1505
E-BIKE Mercedes; 25; 19400; true; 23000;  blue; 1719
E-BIKE Mercedes; 55; 26200; true; 12000;  orange; 1765
E-BIKE Mercedes; 45; 24200; false; 28000;  beige; 2399
E-BIKE Mercedes; 65; 27800; false; 12000;  violet; 3015
E-BIKE Mercedes; 60; 20400; false; 24000;  grey; 3105
E-BIKE Mercedes; 65; 23800; true; 19000;  blue; 3259
E-BIKE Mercedes; 25; 26000; false; 30000;  orange; 3445
E-BIKE Mercedes; 50; 24200; true; 21000;  orange; 3459
SPEEDELEC Kugoo; 50; 20300; true; 4400;  flame; 299
SPEEDELEC Kugoo; 20; 11600; true; 13500;  dark gray; 349
SPEEDELEC Kugoo; 40; 20100; true; 8100;  grenadine; 425
SPEEDELEC Kugoo; 30; 13000; false; 4400;  black; 489
SPEEDELEC Kugoo; 65; 17700; true; 15100;  khaki; 539
SPEEDELEC Kugoo; 30; 9300; false; 7900;  dark gray; 559
SPEEDELEC Kugoo; 50; 16200; true; 10500;  silver; 599
SPEEDELEC Kugoo; 35; 14400; false; 7800;  golden; 745
SPEEDELEC Kugoo; 15; 21800; true; 4100;  grey; 805
SPEEDELEC Kugoo; 15; 10200; true; 12200;  khaki; 815
SPEEDELEC Kugoo; 25; 13600; true; 10800;  dark gray; 1125
SPEEDELEC Kugoo; 60; 17700; false; 9900;  coral; 1175
SPEEDELEC Kugoo; 20; 9000; false; 9900;  black; 1225
SPEEDELEC Kugoo; 65; 20700; false; 5400;  emerald; 1235
SPEEDELEC Kugoo; 10; 8100; false; 9900;  grey; 1299
SPEEDELEC Kugoo; 40; 13600; false; 12000;  yellow; 1315
SPEEDELEC Kugoo; 55; 11400; false; 12300;  lemon; 1325
SPEEDELEC Kugoo; 45; 9200; false; 8400;  dark gray; 1355
SPEEDELEC Kugoo; 25; 15100; false; 11300;  black; 1429
SPEEDELEC Kugoo; 55; 14000; true; 12400;  marine; 1489
SPEEDELEC Kugoo; 10; 14300; true; 3300;  olive; 1515
